"year","bcnh_nest_density","dcco_nest_density","total_nest_density","bcnh_growthindex","dcco_growthindex","bcnh_road_proximity","bcnh_nest_success","dcco_usurpation","raccoon_predation","winter_nestremoval","deterrence_activenestremoval","deterrence_night"
1992,-0.18262931,-0.035761523,-0.218390833,NA,NA,NA,NA,NA,NA,0,0,0
1993,0.018161152,-0.00623436,0.011926792,0.877272727272727,0.556213017751479,0.016216216,NA,NA,NA,0,0,0
1994,0.028331105,0.032824855,0.06115596,0.632721202003339,0.675623800383877,0.034693878,NA,NA,NA,0,0,0
1995,0.038145907,0.081348072,0.119493979,0.348913043478261,-0.186180422264875,0.01462766,NA,NA,NA,0,0,0
1996,0.039719131,0.017587959,0.05730709,0.342857142857143,0.556020942408377,0.025129983,NA,NA,NA,0,0,0
1997,0.039607593,0.014690577,0.05429817,-0.315,0.270992366412214,0.0475,NA,NA,NA,0,0,0
1998,0.014404812,0.01039757,0.024802382,0.00311850311850312,0.239698200812536,0.008905852,NA,NA,NA,0,0,0
1999,0.0236984,0.007433297,0.031131697,0.164205039096438,0.287427626137304,NA,NA,NA,NA,0,0,0
2000,0.095588952,0.013454657,0.109043609,0.165942028985507,0.131465517241379,NA,NA,NA,NA,0,0,0
2001,0.001405061,0.050475797,0.051880858,-0.371014492753623,0.141005862388152,NA,NA,NA,NA,0,0,0
2002,0.02020055,0.090122843,0.110323393,0.28735632183908,0.0492813141683778,0.139491046,NA,NA,NA,0,0,0
2003,0.009853057,0.085151967,0.095005024,0.0565453137103021,0.100290314067036,0.214222222,NA,NA,NA,0,0,0
2004,0.026971914,0.063461317,0.090433231,-0.286599535243997,0.22165160230074,0.309976247,NA,NA,NA,0,0,0
2005,0.009324438,0.036266599,0.045591037,-0.109663409337676,-0.0464256368118324,0.310483871,NA,NA,NA,0,0,0
2006,0.019441963,0.029686957,0.04912892,-0.280487804878049,0.0826086956521739,0.234848485,NA,NA,NA,0,0,0
2007,0.193526385,0.019913105,0.21343949,0.157142857142857,0.052434456928839,0.207165109,NA,NA,NA,0,0,0
2008,0.100494844,0.023839172,0.124334016,-0.511428571428571,-0.111610486891386,0.212698413,NA,NA,NA,0,0,0
2009,0.082455006,0.017807537,0.100262543,-0.5,0.00210349179638199,0.144578313,0.03,0.032967033,0.43956044,0,0,1
2010,0.025040578,0.018584472,0.04362505,-0.116959064327485,-0.069625578460244,0.006944444,0.45,0.01986755,0.139072848,1,1,1
2011,0.024470197,0.012592816,0.037063013,0.637889688249401,0.350132236262122,0.197260274,0.45,0.007352941,0.242647059,1,1,1
2012,0.05052913,0.017500581,0.068029711,-0.0191846522781775,-0.170143990596532,0.026548673,0.67,0,NA,1,1,0
2013,0.014175484,0.011784433,0.025959917,-0.273838630806846,-0.118449008498584,0.049429658,0.19,0,NA,1,1,1
2014,0.010579879,0.013755932,0.024335811,0.25,-0.0871660976099618,0.68503937,0.29,0.074074074,0.074074074,1,1,1
2015,0.01593492,0.016784527,0.032719447,0.0173697270471464,-0.155335533553355,0.819892473,0.38,0,0,1,1,1
2016,0.047976292,0.013396619,0.061372911,-0.183622828784119,-0.169054441260745,0.753943218,0.26,0,0.452380952,1,1,1
2017,0.04302887,0.029489128,0.072517998,0.0706214689265537,0.478161295599542,0.864864865,0,0.125,0.75,1,1,1
2018,0.00177256,-0.002371858,-0.000599,-0.152542372881356,-0.344184524783249,1,0,0,NA,1,1,1
2019,0.072891469,0.056251206,0.129142675,-0.0233333333333333,0.150995340957222,0.866894198,0,0,NA,1,1,1
2020,0.013814123,0.043782014,0.057596137,-0.511945392491468,-0.0135535789919526,0.792857143,0,0,NA,1,0,0
2021,-0.009439955,0.017253675,0.00781372,-0.440559440559441,-0.511592958351224,0.243243243,NA,NA,NA,1,1,1
2022,0,0.016703475,0,-1,-0.526153846153846,0,NA,NA,NA,1,1,1
2023,0,0.022870609,0,NA,0.539906103286385,0,NA,NA,NA,1,1,1
