"","Model","Parameter","Mean","Lower_CI","Upper_CI","pMCMC"
"(Intercept)","model1","(Intercept)",-0.107678807243946,-0.351930474760128,0.159765467128477,0.391666666666667
"bcnh_nest_density","model1","bcnh_nest_density",0.33437693908948,0.0539373471924951,0.634948187373895,0.0249999999999999
"dcco_nest_density","model1","dcco_nest_density",-0.0167146845394442,-0.307441664172484,0.271866742814821,0.91125
"bcnh_nest_success","model1","bcnh_nest_success",0.574066907991231,0.242975832559679,0.911847629281695,0.00249999999999995
"dcco_growthindex","model1","dcco_growthindex",0.744885050362268,0.383510165173128,1.06473359309717,0.000833333333333242
"bcnh_road_proximity","model1","bcnh_road_proximity",0.241236797457516,-0.0897652843965309,0.572631201193758,0.148333333333333
"dcco_usurpation","model1","dcco_usurpation",-0.217645907768721,-0.571539447748724,0.107692813620993,0.193333333333333
"deterrence_activenestremoval","model1","deterrence_activenestremoval",0.0510729145477385,-0.245350910779094,0.372046612622084,0.73125
"(Intercept)1","model2","(Intercept)",-0.0613397524597964,-0.37343968076574,0.259863502857484,0.688333333333333
"bcnh_nest_density1","model2","bcnh_nest_density",0.259516092948468,-0.110933052886651,0.5885500562585,0.149583333333333
"dcco_nest_density1","model2","dcco_nest_density",0.0463126504241236,-0.32025773394844,0.414648746330415,0.804166666666667
"dcco_growthindex1","model2","dcco_growthindex",0.786986667384003,0.355012369847858,1.22028722413508,0.00124999999999997
"bcnh_road_proximity1","model2","bcnh_road_proximity",0.00125034830500821,-0.354948371622881,0.356692048156283,0.999166666666667
"dcco_usurpation1","model2","dcco_usurpation",-0.231715308493588,-0.652353913653397,0.187047801763587,0.26375
"raccoon_predation","model2","raccoon_predation",-0.0966231941341917,-0.440226534046685,0.289899997792809,0.599583333333333
"deterrence_activenestremoval1","model2","deterrence_activenestremoval",0.16443394271674,-0.186029586990106,0.54447283991264,0.35625
"(Intercept)2","model3","(Intercept)",-0.0509993497723606,-0.353832178544611,0.267950475611929,0.744583333333333
"bcnh_nest_density2","model3","bcnh_nest_density",0.187269620242765,-0.13106440719949,0.53020991957059,0.25875
"dcco_nest_density2","model3","dcco_nest_density",0.110067120538115,-0.229262394065582,0.457764756703071,0.514166666666667
"dcco_growthindex2","model3","dcco_growthindex",0.622804712594044,0.273768468099149,0.957384227123152,0.000416666666666732
"bcnh_road_proximity2","model3","bcnh_road_proximity",-0.0727679339534222,-0.422187793252265,0.27524031842821,0.659583333333333
"deterrence_activenestremoval2","model3","deterrence_activenestremoval",0.179659366921762,-0.185265480570649,0.559903640420579,0.325833333333333
