tree_id,x_coord,y_coord,tag,peninsula,northing,easting,DCCO1992,DCCO1993,DCCO1994,DCCO1995,DCCO1996,DCCO1997,DCCO1998,DCCO1999,DCCO2000,DCCO2001,DCCO2002,DCCO2003,DCCO2004,DCCO2005,DCCO2006,DCCO2007,DCCO2008,DCCO2009,DCCO2010,DCCO2011,DCCO2012,DCCO2013,DCCO2014,DCCO2015,DCCO2016,DCCO2017,DCCO2018,DCCO2019,DCCO2020,DCCO2021,DCCO2022,DCCO2023,BCNH1992,BCNH1993,BCNH1994,BCNH1995,BCNH1996,BCNH1997,BCNH1998,BCNH1999,BCNH2000,BCNH2001,BCNH2002,BCNH2003,BCNH2004,BCNH2005,BCNH2006,BCNH2007,BCNH2008,BCNH2009,BCNH2010,BCNH2011,BCNH2012,BCNH2013,BCNH2014,BCNH2015,BCNH2016,BCNH2017,BCNH2018,BCNH2019,BCNH2020,BCNH2021,BCNH2022,BCNH2023
19057,,,19057,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,
10422,63423,4831559,10422,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,
16432,64111,481977,16432,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,11,44,0,40,21,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,
16429,64205,481444,16429,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,
16468,64211,481482,16468,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,12,17,22,17,18,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,,
16428,64215,481449,16428,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,7,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,,
16427,64223,481460,16427,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,5,4,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,,
16426,64223,481452,16426,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,15,9,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,
16484,64226,481416,16484,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,
16419,64229,481461,16419,C,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,2,1,0,0,0,0,,
