"year","peninsula","species","total_count","prev_count","count_diff","count_max","growth_index"
1992,"A","BCNH",10,NA,NA,NA,NA
1992,"A","DCCO",9,NA,NA,NA,NA
1992,"B","BCNH",11,NA,NA,NA,NA
1992,"B","DCCO",57,NA,NA,NA,NA
1992,"C","BCNH",0,NA,NA,NA,NA
1992,"C","DCCO",0,NA,NA,NA,NA
1993,"A","BCNH",10,10,0,10,0
1993,"A","DCCO",41,9,32,41,0.780487804878049
1993,"B","BCNH",175,11,164,175,0.937142857142857
1993,"B","DCCO",98,57,41,98,0.418367346938776
1993,"C","BCNH",0,0,0,0,0
1993,"C","DCCO",0,0,0,0,0
1994,"A","BCNH",0,10,-10,10,-1
1994,"A","DCCO",212,41,171,212,0.806603773584906
1994,"B","BCNH",120,175,-55,175,-0.314285714285714
1994,"B","DCCO",246,98,148,246,0.601626016260163
1994,"C","BCNH",370,0,370,370,1
1994,"C","DCCO",1,0,1,1,1
1995,"A","BCNH",1,0,1,1,1
1995,"A","DCCO",147,212,-65,212,-0.306603773584906
1995,"B","BCNH",50,120,-70,120,-0.583333333333333
1995,"B","DCCO",219,246,-27,246,-0.109756097560976
1995,"C","BCNH",701,370,331,701,0.472182596291013
1995,"C","DCCO",1,1,0,1,0
1996,"A","BCNH",2,1,1,2,0.5
1996,"A","DCCO",318,147,171,318,0.537735849056604
1996,"B","BCNH",72,50,22,72,0.305555555555556
1996,"B","DCCO",551,219,332,551,0.602540834845735
1996,"C","BCNH",1080,701,379,1080,0.350925925925926
1996,"C","DCCO",0,1,-1,1,-1
1997,"A","BCNH",1,2,-1,2,-0.5
1997,"A","DCCO",345,318,27,345,0.0782608695652174
1997,"B","BCNH",63,72,-9,72,-0.125
1997,"B","DCCO",867,551,316,867,0.364475201845444
1997,"C","BCNH",736,1080,-344,1080,-0.318518518518519
1997,"C","DCCO",0,0,0,0,0
1998,"A","BCNH",2,1,1,2,0.5
1998,"A","DCCO",395,345,50,395,0.126582278481013
1998,"B","BCNH",14,63,-49,63,-0.777777777777778
1998,"B","DCCO",1211,867,344,1211,0.284062758051197
1998,"C","BCNH",770,736,34,770,0.0441558441558442
1998,"C","DCCO",16,0,16,16,1
1999,"A","BCNH",49,2,47,49,0.959183673469388
1999,"A","DCCO",611,395,216,611,0.353518821603928
1999,"B","BCNH",0,14,-14,14,-1
1999,"B","DCCO",1668,1211,457,1668,0.273980815347722
1999,"C","BCNH",903,770,133,903,0.147286821705426
1999,"C","DCCO",4,16,-12,16,-0.75
2000,"A","BCNH",2,49,-47,49,-0.959183673469388
2000,"A","DCCO",766,611,155,766,0.202349869451697
2000,"B","BCNH",185,0,185,185,1
2000,"B","DCCO",1892,1668,224,1892,0.118393234672304
2000,"C","BCNH",962,903,59,962,0.0613305613305613
2000,"C","DCCO",30,4,26,30,0.866666666666667
2001,"A","BCNH",3,2,1,3,0.333333333333333
2001,"A","DCCO",733,766,-33,766,-0.0430809399477807
2001,"B","BCNH",0,185,-185,185,-1
2001,"B","DCCO",2135,1892,243,2135,0.113817330210773
2001,"C","BCNH",687,962,-275,962,-0.285862785862786
2001,"C","DCCO",212,30,182,212,0.858490566037736
2002,"A","BCNH",5,3,2,5,0.4
2002,"A","DCCO",615,733,-118,733,-0.160982264665757
2002,"B","BCNH",148,0,148,148,1
2002,"B","DCCO",2102,2135,-33,2135,-0.0154566744730679
2002,"C","BCNH",908,687,221,908,0.243392070484582
2002,"C","DCCO",559,212,347,559,0.620751341681574
2003,"A","BCNH",9,5,4,9,0.444444444444444
2003,"A","DCCO",666,615,51,666,0.0765765765765766
2003,"B","BCNH",241,148,93,241,0.385892116182573
2003,"B","DCCO",2409,2102,307,2409,0.127438771274388
2003,"C","BCNH",875,908,-33,908,-0.0363436123348018
2003,"C","DCCO",610,559,51,610,0.0836065573770492
2004,"A","BCNH",2,9,-7,9,-0.777777777777778
2004,"A","DCCO",470,666,-196,666,-0.294294294294294
2004,"B","BCNH",261,241,20,261,0.0766283524904215
2004,"B","DCCO",1887,2409,-522,2409,-0.216687422166874
2004,"C","BCNH",579,875,-296,875,-0.338285714285714
2004,"C","DCCO",2267,610,1657,2267,0.730921923246581
2005,"A","BCNH",4,2,2,4,0.5
2005,"A","DCCO",258,470,-212,470,-0.451063829787234
2005,"B","BCNH",246,261,-15,261,-0.0574712643678161
2005,"B","DCCO",1617,1887,-270,1887,-0.14308426073132
2005,"C","BCNH",494,579,-85,579,-0.146804835924007
2005,"C","DCCO",2504,2267,237,2504,0.0946485623003195
2006,"A","BCNH",2,4,-2,4,-0.5
2006,"A","DCCO",153,258,-105,258,-0.406976744186047
2006,"B","BCNH",124,246,-122,246,-0.495934959349593
2006,"B","DCCO",1385,1617,-232,1617,-0.143475572047001
2006,"C","BCNH",402,494,-92,494,-0.186234817813765
2006,"C","DCCO",3217,2504,713,3217,0.221635063723966
2007,"A","BCNH",3,2,1,3,0.333333333333333
2007,"A","DCCO",86,153,-67,153,-0.437908496732026
2007,"B","BCNH",133,124,9,133,0.0676691729323308
2007,"B","DCCO",915,1385,-470,1385,-0.339350180505415
2007,"C","BCNH",506,402,104,506,0.205533596837945
2007,"C","DCCO",3948,3217,731,3948,0.18515704154002
2008,"A","BCNH",1,3,-2,3,-0.666666666666667
2008,"A","DCCO",29,86,-57,86,-0.662790697674419
2008,"B","BCNH",67,133,-66,133,-0.496240601503759
2008,"B","DCCO",773,915,-142,915,-0.155191256830601
2008,"C","BCNH",247,506,-259,506,-0.511857707509881
2008,"C","DCCO",3625,3948,-323,3948,-0.0818135764944276
2009,"A","BCNH",0,1,-1,1,-1
2009,"A","DCCO",0,29,-29,29,-1
2009,"B","BCNH",24,67,-43,67,-0.641791044776119
2009,"B","DCCO",650,773,-123,773,-0.159120310478655
2009,"C","BCNH",142,247,-105,247,-0.425101214574899
2009,"C","DCCO",3692,3625,67,3692,0.0181473456121343
2010,"A","BCNH",0,0,0,0,0
2010,"A","DCCO",7,0,7,7,1
2010,"B","BCNH",2,24,-22,24,-0.916666666666667
2010,"B","DCCO",455,650,-195,650,-0.3
2010,"C","BCNH",142,142,0,142,0
2010,"C","DCCO",3580,3692,-112,3692,-0.0303358613217768
2011,"A","BCNH",0,0,0,0,0
2011,"A","DCCO",11,7,4,11,0.363636363636364
2011,"B","BCNH",73,2,71,73,0.972602739726027
2011,"B","DCCO",875,455,420,875,0.48
2011,"C","BCNH",292,142,150,292,0.513698630136986
2011,"C","DCCO",3985,3580,405,3985,0.101631116687578
2012,"A","BCNH",0,0,0,0,0
2012,"A","DCCO",16,11,5,16,0.3125
2012,"B","BCNH",11,73,-62,73,-0.849315068493151
2012,"B","DCCO",685,875,-190,875,-0.217142857142857
