year,peninsula,species,morans_i,n_nonzero
1992,unspec,BCNH,-0.18262931,15
1992,unspec,DCCO,-0.035761523,44
1993,unspec,BCNH,0.018161152,134
1993,unspec,DCCO,-0.00623436,81
1994,unspec,BCNH,0.028331105,367
1994,unspec,DCCO,0.032824855,212
1995,unspec,BCNH,0.038145907,530
1995,unspec,DCCO,0.081348072,177
1996,unspec,BCNH,0.039719131,641
1996,unspec,DCCO,0.017587959,363
1997,unspec,BCNH,0.039607593,517
1997,unspec,DCCO,0.014690577,473
1998,unspec,BCNH,0.014404812,445
1998,unspec,DCCO,0.01039757,511
1999,unspec,BCNH,0.0236984,464
1999,unspec,DCCO,0.007433297,582
2000,unspec,BCNH,0.095588952,487
2000,unspec,DCCO,0.013454657,602
2001,unspec,BCNH,0.001405061,337
2001,unspec,DCCO,0.050475797,728
2002,unspec,BCNH,0.02020055,536
2002,unspec,DCCO,0.090122843,854
2003,unspec,BCNH,0.009853057,616
2003,unspec,DCCO,0.085151967,837
2004,unspec,BCNH,0.026971914,480
2004,unspec,DCCO,0.063461317,1133
2005,unspec,BCNH,0.009324438,413
2005,unspec,DCCO,0.036266599,995
2006,unspec,BCNH,0.019441963,299
2006,unspec,DCCO,0.029686957,890
2007,unspec,BCNH,0.193526385,274
2007,unspec,DCCO,0.019913105,854
2008,unspec,BCNH,0.100494844,183
2008,unspec,DCCO,0.023839172,758
2009,unspec,BCNH,0.082455006,82
2009,unspec,DCCO,0.017807537,725
2010,unspec,BCNH,0.025040578,94
2010,unspec,DCCO,0.018584472,615
2011,unspec,BCNH,0.024470197,182
2011,unspec,DCCO,0.012592816,771
2012,unspec,BCNH,0.05052913,171
2012,unspec,DCCO,0.017500581,652
2013,unspec,BCNH,0.014175484,193
2013,unspec,DCCO,0.011784433,551
2014,unspec,BCNH,0.010579879,268
2014,unspec,DCCO,0.013755932,495
2015,unspec,BCNH,0.01593492,292
2015,unspec,DCCO,0.016784527,421
2016,unspec,BCNH,0.047976292,262
2016,unspec,DCCO,0.013396619,335
2017,unspec,BCNH,0.04302887,244
2017,unspec,DCCO,0.029489128,578
2018,unspec,BCNH,0.00177256,124
2018,unspec,DCCO,-0.002371858,37
2019,unspec,BCNH,0.072891469,192
2019,unspec,DCCO,0.056251206,569
2020,unspec,BCNH,0.013814123,105
2020,unspec,DCCO,0.043782014,910
2021,unspec,BCNH,-0.009439955,63
2021,unspec,DCCO,0.017253675,396
2022,unspec,DCCO,0.016703475,199
2023,unspec,DCCO,0.022870609,463
