year,peninsula,species,count
1993,B,BCNH,1
1994,B,BCNH,1
1996,B,BCNH,2
1997,B,BCNH,2
1993,B,BCNH,1
1997,B,BCNH,1
1993,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,2
1997,B,BCNH,1
1998,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,1
1996,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,1
1997,B,BCNH,1
1994,B,BCNH,1
1994,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
1994,B,BCNH,1
1994,B,BCNH,2
1995,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
1994,B,BCNH,1
1996,B,BCNH,1
1998,B,BCNH,1
1994,B,BCNH,1
1994,B,BCNH,1
1995,B,BCNH,1
1995,B,BCNH,1
1996,B,BCNH,1
1995,B,BCNH,1
1996,B,BCNH,2
1997,B,BCNH,1
2007,B,BCNH,6
1995,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,2
1996,B,BCNH,1
1994,B,BCNH,3
1996,B,BCNH,1
1997,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
1998,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
1996,B,BCNH,2
1997,B,BCNH,2
1996,B,BCNH,1
1996,B,BCNH,2
1997,B,BCNH,1
1996,B,BCNH,1
1996,B,BCNH,1
1996,B,BCNH,1
2007,B,BCNH,2
1996,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,1
2003,B,BCNH,1
1996,B,BCNH,1
1996,B,BCNH,1
1997,B,BCNH,2
1996,B,BCNH,1
1997,B,BCNH,1
1998,B,BCNH,1
1997,B,BCNH,1
1997,B,BCNH,1
1997,B,BCNH,1
1997,B,BCNH,1
1997,B,BCNH,1
1998,B,BCNH,1
2002,B,BCNH,1
2002,B,BCNH,2
2004,B,BCNH,1
2005,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,3
2004,B,BCNH,1
2005,B,BCNH,2
2002,B,BCNH,2
2003,B,BCNH,1
2005,B,BCNH,2
2009,B,BCNH,1
2002,B,BCNH,3
2003,B,BCNH,3
2004,B,BCNH,3
2005,B,BCNH,3
2002,B,BCNH,1
2003,B,BCNH,3
2004,B,BCNH,2
2005,B,BCNH,1
2009,B,BCNH,1
2002,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2009,B,BCNH,1
2002,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2002,B,BCNH,2
2004,B,BCNH,4
2005,B,BCNH,1
2006,B,BCNH,1
2009,B,BCNH,2
2002,B,BCNH,1
2005,B,BCNH,3
2002,B,BCNH,2
2003,B,BCNH,3
2004,B,BCNH,4
2005,B,BCNH,2
2009,B,BCNH,1
2002,B,BCNH,2
2003,B,BCNH,3
2004,B,BCNH,4
2005,B,BCNH,4
2006,B,BCNH,1
2007,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,2
2004,B,BCNH,2
2005,B,BCNH,1
2009,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,2
2004,B,BCNH,3
2005,B,BCNH,3
2006,B,BCNH,1
2009,B,BCNH,1
2013,B,BCNH,1
2002,B,BCNH,2
2003,B,BCNH,3
2004,B,BCNH,4
2005,B,BCNH,3
2006,B,BCNH,1
2009,B,BCNH,1
2002,B,BCNH,2
2003,B,BCNH,3
2004,B,BCNH,5
2005,B,BCNH,3
2006,B,BCNH,2
2009,B,BCNH,1
2010,B,BCNH,1
2011,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,2
2002,B,BCNH,3
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,3
2004,B,BCNH,3
2005,B,BCNH,4
2006,B,BCNH,2
2008,B,BCNH,4
2011,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,2
2005,B,BCNH,1
2006,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2006,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2005,B,BCNH,4
2008,B,BCNH,1
2013,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,2
2004,B,BCNH,1
2005,B,BCNH,1
2006,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,2
2008,B,BCNH,3
2007,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,3
2005,B,BCNH,3
2006,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,2
2004,B,BCNH,2
2005,B,BCNH,2
2006,B,BCNH,2
2002,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2006,B,BCNH,1
2007,B,BCNH,1
2008,B,BCNH,1
2011,B,BCNH,4
2003,B,BCNH,2
2004,B,BCNH,2
2005,B,BCNH,3
2006,B,BCNH,1
2008,B,BCNH,1
2002,B,BCNH,3
2004,B,BCNH,1
2006,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2002,B,BCNH,2
2003,B,BCNH,3
2004,B,BCNH,2
2005,B,BCNH,1
2006,B,BCNH,1
2008,B,BCNH,3
2002,B,BCNH,3
2003,B,BCNH,4
2004,B,BCNH,4
2006,B,BCNH,3
2007,B,BCNH,2
2008,B,BCNH,1
2002,B,BCNH,3
2003,B,BCNH,2
2004,B,BCNH,4
2005,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,2
2004,B,BCNH,3
2005,B,BCNH,4
2006,B,BCNH,4
2008,B,BCNH,1
2011,B,BCNH,2
2002,B,BCNH,2
2003,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,1
2002,B,BCNH,1
2003,B,BCNH,1
2004,B,BCNH,2
2006,B,BCNH,2
2007,B,BCNH,1
2008,B,BCNH,1
2002,B,BCNH,4
2003,B,BCNH,3
2004,B,BCNH,2
2005,B,BCNH,2
2002,B,BCNH,2
2002,B,BCNH,2
2003,B,BCNH,1
2004,B,BCNH,2
2005,B,BCNH,4
2006,B,BCNH,1
2007,B,BCNH,2
2002,B,BCNH,1
2003,B,BCNH,3
2004,B,BCNH,2
2005,B,BCNH,1
2011,B,BCNH,1
