treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
462,1993,633856.581499999971129,4831310.566100000403821,462,B,4831213.981999999843538,317621.871999999973923,1,0
462,1994,633856.581499999971129,4831310.566100000403821,462,B,4831213.981999999843538,317621.871999999973923,1,0
462,1996,633856.581499999971129,4831310.566100000403821,462,B,4831213.981999999843538,317621.871999999973923,2,0
462,1997,633856.581499999971129,4831310.566100000403821,462,B,4831213.981999999843538,317621.871999999973923,2,0
463,1993,633857.768799999961630,4831319.566100000403821,463,B,4831222.776999999769032,317623.505000000004657,1,0
463,1997,633857.768799999961630,4831319.566100000403821,463,B,4831222.776999999769032,317623.505000000004657,1,0
464,1993,633857.081299999961630,4831319.566100000403821,464,B,4831223.016999999992549,317622.879000000015367,1,0
464,1994,633857.081299999961630,4831319.566100000403821,464,B,4831223.016999999992549,317622.879000000015367,1,0
464,1995,633857.081299999961630,4831319.566100000403821,464,B,4831223.016999999992549,317622.879000000015367,2,0
464,1997,633857.081299999961630,4831319.566100000403821,464,B,4831223.016999999992549,317622.879000000015367,1,0
464,1998,633857.081299999961630,4831319.566100000403821,464,B,4831223.016999999992549,317622.879000000015367,1,0
5032,1994,633889.644399999990128,4831302.066499999724329,5032,B,4831204.425999999977648,317655.068000000028405,1,0
5032,1995,633889.644399999990128,4831302.066499999724329,5032,B,4831204.425999999977648,317655.068000000028405,1,0
5033,1994,633868.956800000043586,4831306.036199999973178,5033,B,4831208.270999999716878,317636.902999999991152,1,0
5033,1995,633868.956800000043586,4831306.036199999973178,5033,B,4831208.270999999716878,317636.902999999991152,1,0
5033,1996,633868.956800000043586,4831306.036199999973178,5033,B,4831208.270999999716878,317636.902999999991152,1,0
5034,1994,633866.548300000024028,4831311.324000000022352,5034,B,4831213.196000000461936,317636.414999999979045,1,0
5034,1995,633866.548300000024028,4831311.324000000022352,5034,B,4831213.196000000461936,317636.414999999979045,1,0
5034,1997,633866.548300000024028,4831311.324000000022352,5034,B,4831213.196000000461936,317636.414999999979045,1,0
5035,1994,633864.615299999946728,4831317.790199999697506,5035,B,4831219.763000000268221,317632.167000000015832,1,0
5036,1994,633862.706400000024587,4831317.566200000233948,5036,B,4831220.718999999575317,317628.211000000010245,1,0
5036,1996,633862.706400000024587,4831317.566200000233948,5036,B,4831220.718999999575317,317628.211000000010245,1,0
5036,1997,633862.706400000024587,4831317.566200000233948,5036,B,4831220.718999999575317,317628.211000000010245,1,0
5037,1994,633859.581699999980628,4831300.566200000233948,5037,B,4831203.615000000223517,317624.868000000016764,1,0
5037,1995,633859.581699999980628,4831300.566200000233948,5037,B,4831203.615000000223517,317624.868000000016764,1,0
5037,1996,633859.581699999980628,4831300.566200000233948,5037,B,4831203.615000000223517,317624.868000000016764,1,0
5037,1997,633859.581699999980628,4831300.566200000233948,5037,B,4831203.615000000223517,317624.868000000016764,1,0
5038,1994,633849.331800000043586,4831286.066100000403821,5038,B,4831189.381000000052154,317614.143999999971129,1,0
5039,1994,633851.260299999965355,4831289.589999999850988,5039,B,4831192.300999999977648,317618.640000000013970,2,0
5039,1995,633851.260299999965355,4831289.589999999850988,5039,B,4831192.300999999977648,317618.640000000013970,1,0
5039,1996,633851.260299999965355,4831289.589999999850988,5039,B,4831192.300999999977648,317618.640000000013970,1,0
5039,1997,633851.260299999965355,4831289.589999999850988,5039,B,4831192.300999999977648,317618.640000000013970,1,0
5040,1994,633845.729900000034831,4831290.926400000229478,5040,B,4831193.747000000439584,317610.398999999975786,1,0
5040,1996,633845.729900000034831,4831290.926400000229478,5040,B,4831193.747000000439584,317610.398999999975786,1,0
5040,1998,633845.729900000034831,4831290.926400000229478,5040,B,4831193.747000000439584,317610.398999999975786,1,0
5042,1994,633853.831499999971129,4831306.066100000403821,5042,B,4831209.651999999769032,317619.364000000001397,1,0
5048,1994,633847.691499999957159,4831296.026100000366569,5048,B,4831198.372000000439584,317613.912000000011176,1,0
5048,1995,633847.691499999957159,4831296.026100000366569,5048,B,4831198.372000000439584,317613.912000000011176,1,0
5244,1995,633861.706699999980628,4831297.566200000233948,5244,B,4831201.121000000275671,317626.913999999989755,1,0
5244,1996,633861.706699999980628,4831297.566200000233948,5244,B,4831201.121000000275671,317626.913999999989755,1,0
5262,1995,633894.082099999999627,4831293.066999999806285,5262,B,4831195.680999999865890,317659.113000000012107,1,0
5262,1996,633894.082099999999627,4831293.066999999806285,5262,B,4831195.680999999865890,317659.113000000012107,2,0
5262,1997,633894.082099999999627,4831293.066999999806285,5262,B,4831195.680999999865890,317659.113000000012107,1,0
5262,2007,633894.082099999999627,4831293.066999999806285,5262,B,4831195.680999999865890,317659.113000000012107,6,1
5263,1995,633909.582399999955669,4831286.566999999806285,5263,B,4831189.001000000163913,317674.902999999991152,1,0
5263,1996,633909.582399999955669,4831286.566999999806285,5263,B,4831189.001000000163913,317674.902999999991152,1,0
5281,1997,633857.894500000053085,4831278.066200000233948,5281,B,4831181.348000000230968,317622.922000000020489,2,0
5388,1996,633847.081699999980628,4831293.566100000403821,5388,B,4831196.906999999657273,317612.235999999975320,1,0
5389,1994,633861.581600000034086,4831306.566200000233948,5389,B,4831209.260999999940395,317627.007999999972526,3,0
5390,1996,633868.706800000043586,4831298.566300000064075,5390,B,4831202.064000000245869,317633.780000000027940,1,0
5390,1997,633868.706800000043586,4831298.566300000064075,5390,B,4831202.064000000245869,317633.780000000027940,1,0
5391,1996,633862.706899999990128,4831285.066200000233948,5391,B,4831188.508999999612570,317628.011999999987893,1,0
5391,1997,633862.706899999990128,4831285.066200000233948,5391,B,4831188.508999999612570,317628.011999999987893,1,0
5391,1998,633862.706899999990128,4831285.066200000233948,5391,B,4831188.508999999612570,317628.011999999987893,1,0
5501,1996,633866.164600000018254,4831303.146399999968708,5501,B,4831205.487999999895692,317632.978999999992084,1,0
5501,1997,633866.164600000018254,4831303.146399999968708,5501,B,4831205.487999999895692,317632.978999999992084,1,0
5508,1996,633870.673700000043027,4831303.927000000141561,5508,B,4831203.125000000000000,317633.354999999981374,2,0
5508,1997,633870.673700000043027,4831303.927000000141561,5508,B,4831203.125000000000000,317633.354999999981374,2,0
5510,1996,633858.678300000028685,4831290.217100000008941,5510,B,4831189.328999999910593,317624.162000000011176,1,0
5513,1996,633861.174200000008568,4831304.683100000023842,5513,B,4831207.401999999769032,317627.427000000025146,2,0
5513,1997,633861.174200000008568,4831304.683100000023842,5513,B,4831207.401999999769032,317627.427000000025146,1,0
5517,1996,633891.957099999999627,4831294.066499999724329,5517,B,4831196.444000000134110,317657.232000000018161,1,0
5518,1996,633902.713299999944866,4831281.120000000111759,5518,B,4831183.200000000186265,317667.984999999986030,1,0
5519,1996,633881.856600000057369,4831297.053000000305474,5519,B,4831199.934999999590218,317648.081999999994878,1,0
5519,2007,633881.856600000057369,4831297.053000000305474,5519,B,4831199.934999999590218,317648.081999999994878,2,10
5522,1996,633899.707199999946170,4831291.066999999806285,5522,B,4831193.324000000022352,317664.982000000018161,1,0
5523,1996,633913.957500000018626,4831283.399100000038743,5523,B,4831185.808000000193715,317678.945999999996275,1,0
5523,1997,633913.957500000018626,4831283.399100000038743,5523,B,4831185.808000000193715,317678.945999999996275,1,0
5523,2003,633913.957500000018626,4831283.399100000038743,5523,B,4831185.808000000193715,317678.945999999996275,1,0
5525,1996,633891.144500000053085,4831299.566499999724329,5525,B,4831202.622000000439584,317656.065000000002328,1,0
5526,1996,633892.137899999972433,4831294.089999999850988,5526,B,4831197.078999999910593,317657.135999999998603,1,0
5526,1997,633892.137899999972433,4831294.089999999850988,5526,B,4831197.078999999910593,317657.135999999998603,2,0
5527,1996,633890.554800000041723,4831284.747000000439584,5527,B,4831188.088000000454485,317659.196999999985565,1,0
5562,1997,633875.644300000043586,4831303.566300000064075,5562,B,4831206.661999999545515,317640.766000000003260,1,0
5562,1998,633875.644300000043586,4831303.566300000064075,5562,B,4831206.661999999545515,317640.766000000003260,1,0
5567,1997,633874.192799999960698,4831314.039400000125170,5567,B,4831216.332000000402331,317640.108000000007451,1,0
5568,1997,633856.518900000024587,4831314.066100000403821,5568,B,4831217.015999999828637,317622.101000000024214,1,0
5573,1997,633873.126999999978580,4831318.418999999761581,5573,B,4831220.161999999545515,317639.607000000018161,1,0
5577,1997,633857.630099999951199,4831316.328499999828637,5577,B,4831218.771999999880791,317623.197999999974854,1,0
5600,1997,633863.394500000053085,4831283.566200000233948,5600,B,4831186.849000000394881,317628.097999999998137,1,0
5600,1998,633863.394500000053085,4831283.566200000233948,5600,B,4831186.849000000394881,317628.097999999998137,1,0
5620,2002,633963.215599999995902,4831225.103199999779463,5620,B,,,1,0
5622,2002,633953.054800000041723,4831231.158200000412762,5622,B,,,2,0
5622,2004,633953.054800000041723,4831231.158200000412762,5622,B,,,1,0
5622,2005,633953.054800000041723,4831231.158200000412762,5622,B,,,2,0
5623,2002,633962.069800000055693,4831238.192999999970198,5623,B,,,1,0
5623,2003,633962.069800000055693,4831238.192999999970198,5623,B,,,3,0
5623,2004,633962.069800000055693,4831238.192999999970198,5623,B,,,1,0
5623,2005,633962.069800000055693,4831238.192999999970198,5623,B,,,2,0
5624,2002,633959.131700000027195,4831239.480000000447035,5624,B,,,2,0
5624,2003,633959.131700000027195,4831239.480000000447035,5624,B,,,1,0
5624,2005,633959.131700000027195,4831239.480000000447035,5624,B,,,2,0
5624,2009,633959.131700000027195,4831239.480000000447035,5624,B,,,1,0
5627,2002,633935.589200000045821,4831233.796000000089407,5627,B,,,3,0
5627,2003,633935.589200000045821,4831233.796000000089407,5627,B,,,3,0
5627,2004,633935.589200000045821,4831233.796000000089407,5627,B,,,3,0
5627,2005,633935.589200000045821,4831233.796000000089407,5627,B,,,3,0
5628,2002,633940.246999999973923,4831233.750099999830127,5628,B,,,1,0
5628,2003,633940.246999999973923,4831233.750099999830127,5628,B,,,3,0
5628,2004,633940.246999999973923,4831233.750099999830127,5628,B,,,2,0
